"Run ID","Assay Name","Test Name","Test Date","Qubit tube conc.","Qubit tube conc. units","Original sample conc.","Original sample conc. units","Sample Volume (uL)","Dilution Factor","Std 1 RFU","Std 2 RFU","Std 3 RFU","Excitation","Emission","Green RFU","Far Red RFU"
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222939","08/08/2025 10:29:39 PM","0.170","ug/mL","17.0","ng/uL","2","100","140.58","14719.32",,"Blue","Green","778.09",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222929","08/08/2025 10:29:29 PM","0.0643","ug/mL","6.43","ng/uL","2","100","140.58","14719.32",,"Blue","Green","384.03",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222920","08/08/2025 10:29:20 PM","0.0962","ug/mL","9.62","ng/uL","2","100","140.58","14719.32",,"Blue","Green","503.87",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222907","08/08/2025 10:29:07 PM","0.0315","ug/mL","3.15","ng/uL","2","100","140.58","14719.32",,"Blue","Green","260.06",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222854","08/08/2025 10:28:54 PM","0.0890","ug/mL","8.90","ng/uL","2","100","140.58","14719.32",,"Blue","Green","476.83",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222842","08/08/2025 10:28:42 PM","0.0666","ug/mL","6.66","ng/uL","2","100","140.58","14719.32",,"Blue","Green","392.62",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222830","08/08/2025 10:28:30 PM","0.0826","ug/mL","8.26","ng/uL","2","100","140.58","14719.32",,"Blue","Green","452.88",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222817","08/08/2025 10:28:17 PM","0.0654","ug/mL","6.54","ng/uL","2","100","140.58","14719.32",,"Blue","Green","387.99",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222804","08/08/2025 10:28:04 PM","0.0597","ug/mL","5.97","ng/uL","2","100","140.58","14719.32",,"Blue","Green","366.70",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222754","08/08/2025 10:27:54 PM","0.167","ug/mL","16.7","ng/uL","2","100","140.58","14719.32",,"Blue","Green","767.74",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222737","08/08/2025 10:27:37 PM","0.0689","ug/mL","6.89","ng/uL","2","100","140.58","14719.32",,"Blue","Green","401.25",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222728","08/08/2025 10:27:28 PM","0.0619","ug/mL","6.19","ng/uL","2","100","140.58","14719.32",,"Blue","Green","374.93",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222718","08/08/2025 10:27:18 PM","0.0895","ug/mL","8.95","ng/uL","2","100","140.58","14719.32",,"Blue","Green","478.86",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222708","08/08/2025 10:27:08 PM","0.0868","ug/mL","8.68","ng/uL","2","100","140.58","14719.32",,"Blue","Green","468.64",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222656","08/08/2025 10:26:56 PM","0.0875","ug/mL","8.75","ng/uL","2","100","140.58","14719.32",,"Blue","Green","471.30",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222647","08/08/2025 10:26:47 PM","0.130","ug/mL","13.0","ng/uL","2","100","140.58","14719.32",,"Blue","Green","629.63",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222635","08/08/2025 10:26:35 PM","0.167","ug/mL","16.7","ng/uL","2","100","140.58","14719.32",,"Blue","Green","767.14",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222623","08/08/2025 10:26:23 PM","0.0617","ug/mL","6.17","ng/uL","2","100","140.58","14719.32",,"Blue","Green","373.95",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222608","08/08/2025 10:26:08 PM","0.0470","ug/mL","4.70","ng/uL","2","100","140.58","14719.32",,"Blue","Green","318.47",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222557","08/08/2025 10:25:57 PM","0.0727","ug/mL","7.27","ng/uL","2","100","140.58","14719.32",,"Blue","Green","415.42",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222547","08/08/2025 10:25:47 PM","0.137","ug/mL","13.7","ng/uL","2","100","140.58","14719.32",,"Blue","Green","656.03",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222537","08/08/2025 10:25:37 PM","0.0971","ug/mL","9.71","ng/uL","2","100","140.58","14719.32",,"Blue","Green","507.49",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222526","08/08/2025 10:25:26 PM","0.105","ug/mL","10.5","ng/uL","2","100","140.58","14719.32",,"Blue","Green","536.32",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222516","08/08/2025 10:25:16 PM","0.0903","ug/mL","9.03","ng/uL","2","100","140.58","14719.32",,"Blue","Green","481.94",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222506","08/08/2025 10:25:06 PM","0.0804","ug/mL","8.04","ng/uL","2","100","140.58","14719.32",,"Blue","Green","444.56",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222456","08/08/2025 10:24:56 PM","0.155","ug/mL","15.5","ng/uL","2","100","140.58","14719.32",,"Blue","Green","725.63",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222446","08/08/2025 10:24:46 PM","0.153","ug/mL","15.3","ng/uL","2","100","140.58","14719.32",,"Blue","Green","716.73",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222437","08/08/2025 10:24:37 PM","0.141","ug/mL","14.1","ng/uL","2","100","140.58","14719.32",,"Blue","Green","670.16",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222426","08/08/2025 10:24:26 PM","0.136","ug/mL","13.6","ng/uL","2","100","140.58","14719.32",,"Blue","Green","653.07",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222414","08/08/2025 10:24:14 PM","0.135","ug/mL","13.5","ng/uL","2","100","140.58","14719.32",,"Blue","Green","647.57",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222404","08/08/2025 10:24:05 PM","0.108","ug/mL","10.8","ng/uL","2","100","140.58","14719.32",,"Blue","Green","548.77",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222355","08/08/2025 10:23:55 PM","0.116","ug/mL","11.6","ng/uL","2","100","140.58","14719.32",,"Blue","Green","578.01",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222346","08/08/2025 10:23:46 PM","0.112","ug/mL","11.2","ng/uL","2","100","140.58","14719.32",,"Blue","Green","564.51",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222336","08/08/2025 10:23:36 PM","0.145","ug/mL","14.5","ng/uL","2","100","140.58","14719.32",,"Blue","Green","687.62",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222326","08/08/2025 10:23:26 PM","0.124","ug/mL","12.4","ng/uL","2","100","140.58","14719.32",,"Blue","Green","606.75",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222316","08/08/2025 10:23:16 PM","0.111","ug/mL","11.1","ng/uL","2","100","140.58","14719.32",,"Blue","Green","561.23",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222307","08/08/2025 10:23:07 PM","0.108","ug/mL","10.8","ng/uL","2","100","140.58","14719.32",,"Blue","Green","549.32",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222255","08/08/2025 10:22:55 PM","0.164","ug/mL","16.4","ng/uL","2","100","140.58","14719.32",,"Blue","Green","756.60",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222246","08/08/2025 10:22:46 PM","0.102","ug/mL","10.2","ng/uL","2","100","140.58","14719.32",,"Blue","Green","524.76",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222236","08/08/2025 10:22:36 PM","0.129","ug/mL","12.9","ng/uL","2","100","140.58","14719.32",,"Blue","Green","626.47",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222226","08/08/2025 10:22:26 PM","0.142","ug/mL","14.2","ng/uL","2","100","140.58","14719.32",,"Blue","Green","674.63",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222215","08/08/2025 10:22:15 PM","0.139","ug/mL","13.9","ng/uL","2","100","140.58","14719.32",,"Blue","Green","663.04",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222205","08/08/2025 10:22:05 PM","0.0872","ug/mL","8.72","ng/uL","2","100","140.58","14719.32",,"Blue","Green","470.13",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222156","08/08/2025 10:21:56 PM","0.153","ug/mL","15.3","ng/uL","2","100","140.58","14719.32",,"Blue","Green","715.72",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222147","08/08/2025 10:21:47 PM","0.0936","ug/mL","9.36","ng/uL","2","100","140.58","14719.32",,"Blue","Green","494.01",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222135","08/08/2025 10:21:35 PM","0.133","ug/mL","13.3","ng/uL","2","100","140.58","14719.32",,"Blue","Green","643.00",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222126","08/08/2025 10:21:26 PM","0.123","ug/mL","12.3","ng/uL","2","100","140.58","14719.32",,"Blue","Green","605.43",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222116","08/08/2025 10:21:16 PM","0.155","ug/mL","15.5","ng/uL","2","100","140.58","14719.32",,"Blue","Green","725.83",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222107","08/08/2025 10:21:07 PM","0.127","ug/mL","12.7","ng/uL","2","100","140.58","14719.32",,"Blue","Green","618.09",
"2025-08-08_221924","dsDNA Broad Range","Sample_#250808-222057","08/08/2025 10:20:57 PM","0.110","ug/mL","11.0","ng/uL","2","100","140.58","14719.32",,"Blue","Green","555.34",
